"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"negative regulation of cell cycle G1/S phase transition (GO:1902807)","21/35",2.72544569466868e-07,0.000138378310952042,0,0,5.98313343328336,90.4378360946567,"RB1;CDKN1A;CDKN2B;CDKN2A;DCUN1D3;SUSD2;FHL1;FAM107A;JADE1;PTEN;PKD2;KLF4;CDC73;MYO16;RBL2;WEE1;CDK6;GPNMB;CDK4;CDK2AP2;E2F7"
"regulation of focal adhesion assembly (GO:0051893)","27/54",8.9473147236989e-07,0.000416422939432153,0,0,3.99149149149149,55.5884729737876,"ACVRL1;COL16A1;LDB1;ROCK1;ROCK2;FAM107A;PTEN;PTPRJ;THY1;THBS1;PPM1F;ACTG1;CORO1C;APOD;RAC1;GPM6B;DUSP3;DAPK3;VEGFA;DUSP22;SFRP1;PEAK1;ITGB1BP1;PHLDB2;VCL;FERMT2;LIMS1"
"negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)","21/37",9.92970801297195e-07,0.000417256720289279,0,0,5.23458583208396,72.355400702374,"RB1;CDKN1A;CDKN2B;CDKN2A;DCUN1D3;FHL1;FAM107A;JADE1;PTEN;PKD2;KLF4;CDC73;MYO16;RBL2;WEE1;CDK6;GPNMB;CDK4;NACC2;CDK2AP2;E2F7"
"regulation of anatomical structure morphogenesis (GO:0022603)","48/123",1.04594343492389e-06,0.000417256720289279,0,0,2.56032201257862,35.257147958118,"BRSK1;PHLDB1;PID1;SPARC;SDC2;LRRK2;NEDD4L;TNFAIP3;DLL1;LFNG;SIPA1L1;BMPER;CAPZB;ZMYM3;GPNMB;CFL1;CHN1;DAG1;HMOX1;PAK3;PDLIM5;LZTS1;EPHB3;PPFIA2;SH3D19;EPHA4;MEF2C;ZRANB1;VASH2;EMP2;LARP4;WTIP;TANC2;SFRP1;INF2;FMNL2;BCL6;GDNF;RUFY3;LEP;NSMF;PHIP;TNIK;MAPT;PHLDB2;FERMT2;FGFR2;ZNF135"
"regulation of apoptotic process (GO:0042981)","202/742",1.24749516035921e-06,0.000422349942816322,0,0,1.5112749231828,20.5448348432393,"ANKLE2;ITSN1;IFIT2;PREX1;RASSF2;MYC;RPS6KA2;ARL6IP5;TNFSF10;SOX9;SKP2;SOX4;MEF2C;DAPK1;DAPK2;ACTN1;DAPK3;ACTN4;DKK1;ZNF16;SFRP4;SFRP1;SFRP2;BIN1;NSMF;ATF5;TP53;RNF122;ATF4;ANP32A;MAGED1;DCUN1D3;GATA6;PIK3R1;KALRN;MTDH;PRDX3;ABR;NUAK2;PDCD10;JUN;EGR3;TSLP;GADD45B;PLK2;IL31RA;IGF1;CIDEC;GADD45G;MLLT11;TNFSF9;RNPS1;FANK1;CSRNP3;HIP1;CITED2;IKBKB;RNF157;AKAP13;DSTYK;ADAMTSL4;AIFM2;TCTN3;TRIM2;JAK2;ANXA1;ANXA4;SPHK1;PAWR;SERPINB9;ANO6;RHOB;RNF144B;ARHGEF9;KCNMA1;ARHGEF3;ARHGEF1;ANGPTL4;ARHGEF2;GAS6;ARHGEF7;SGK1;CRYAB;FSTL1;EGFR;FGD1;RELA;FGD4;FRZB;PDPN;FLNA;HS1BP3;STAT1;PNMA2;AGT;HIPK3;VEGFA;TJP1;ITCH;RYBP;STK17A;APEX1;STK17B;TARDBP;ANKRD13C;FAIM2;IGF1R;CCND2;ARHGDIA;CFL1;PIM1;PHLDA1;TMEM14A;MAP3K5;TGM2;BNIP3L;HGF;WNT5A;OBSCN;SHQ1;PPIF;PHIP;NUPR1;RAF1;SQSTM1;SLC27A4;PSMD10;PSEN1;FOXO3;HIGD1A;FOXO1;BCL2L11;GRK5;UBB;BAG3;BMF;NAE1;MCL1;TFAP2A;MOAP1;OPN3;WFS1;TNFRSF10C;ASNS;TNFRSF10B;DHCR24;NFKBIA;AHI1;TP53I3;BCL6;GDNF;BCL3;BCL2;NF2;BCL2L2;ITGB1;AVEN;TNFAIP8;DDX3X;RASGRF2;FHL2;HSPB1;SIX4;CASP3;GPER1;NUP62;CASP1;MYO18A;DNM1L;USP47;HSP90AA1;ARHGEF12;PLEKHG5;ARHGEF17;ARHGEF19;NGF;DNAJC3;GREM1;ARHGAP10;CAT;BIRC6;ITGA6;TMBIM6;SOS2;HDAC2;PRKAA1;TAF9;CBL;THBS1;MALT1;ACVR1C;BNIP2;PTK2B;ZNF622;SLIT2;ANGPT1;CFLAR;TBX3;DNAJA1;PINK1;GOLPH3;SPRY2"
"regulation of cell migration involved in sprouting angiogenesis (GO:0090049)","19/32",1.27430019591153e-06,0.000422349942816322,0,0,5.82717282717283,79.0928775612349,"HDAC5;MAP3K3;STARD13;NOTCH1;ANXA1;PIK3C2A;PTGS2;KLF4;HDAC9;THBS1;HDAC7;VEGFA;DLL4;PDCD10;TBXA2R;AKT3;RHOJ;HMOX1;ITGB1BP1"
"regulation of epithelial cell proliferation (GO:0050678)","39/93",1.28557726551074e-06,0.000422349942816322,0,0,2.8865322400714,39.1537970767807,"ACVRL1;YAP1;GRN;MAGED1;LAMC1;FGF1;CDC73;EGFR;ZFP36L1;ZFP36;DUSP10;SIX4;MYC;SCN5A;SOX9;HRAS;OSR2;CDKN2B;TGFB2;GPX1;ANGPT1;LAMB1;IGF1;GDF5;MTSS1;BMP6;VEGFA;NR4A1;SFRP1;SFRP2;CDK6;NR4A3;LEP;AQP11;NUPR1;PRKD1;FGFR2;FGF10;LIMS1"
"positive regulation of cell migration (GO:0030335)","87/269",1.37914886955954e-06,0.000427919246471667,0,0,1.91828179442509,25.8853789580514,"SEMA5A;ITGB1;DOCK5;CSF1;FAM107A;PIK3CD;LAMC2;FGF1;ACTG1;CXCL16;IGF1R;SYDE1;PLAU;MDK;GPER1;ENPP2;CPNE3;SOX9;EPHB2;HRAS;PDGFRB;PDGFRA;SEMA6C;SUN2;PRKCE;SPHK1;HGF;SEMA6D;GAB1;ACTN4;F3;ADRA2A;ADAM17;SMO;RUFY3;TMSB15B;MYADM;NSMF;ITGA6;ARHGEF2;ARHGEF7;MAPRE1;LRRC15;GRN;CCL11;NOTCH1;ROCK2;SEMA3D;SEMA3A;SEMA3B;TWIST2;PIK3R3;NEDD9;ACVR1B;HIF1A;THBS1;EGFR;PPM1F;GPNMB;CCL7;PDCD10;PDGFC;PDPN;PLCG2;GCNT2;PTK2B;CCR1;TGFB2;F10;INSR;CAV1;STAT3;SEMA4C;LAMB1;IGF1;SOD2;MTOR;VEGFA;COL1A1;TJP1;CXCL12;MYO1C;AGO2;TRIP6;SPRY2;FERMT2;FGF10"
"Ras protein signal transduction (GO:0007265)","53/142",1.49454749429086e-06,0.000439318302927077,0,0,2.38322248323097,31.9678006233639,"RB1;NCKAP1;CDKN1A;ARHGAP1;EPS8;RASSF1;ARHGDIA;CFL1;PLCE1;RAC1;HRAS;KSR1;PLEKHG5;RRAS2;ADRA2A;RHOB;CCNA2;RAP2B;CDC42EP3;ELMO1;ARHGEF3;ARHGEF1;PRKD1;TP53;KPNB1;RALA;SHC3;RALB;ROCK1;ROCK2;PLD1;RASGRP2;NTN1;RAP1B;NRAS;RRAS;G3BP1;GNA12;PDPN;SHOC2;WASF1;RALGDS;CTNNAL1;FARP2;JUN;CDKN2A;PLK2;LIMK1;ARHGAP29;IGF1;MAPK14;MAPK11;COL1A2"
"axonogenesis (GO:0007409)","79/240",1.93505505294573e-06,0.000540364123535095,0,0,1.96770942259962,25.8859549139162,"EPHB6;SEMA5A;ROBO3;NRP2;HSP90AB1;USP33;PTEN;PIK3CD;IRS2;ACTB;GLI2;ROBO1;RPS6KA5;KIF5B;DAG1;GRB10;NPTN;EPHB2;SPTAN1;EPHB4;SCN1B;EPHB3;EPHA5;EPHA4;SEMA6C;HSP90AA1;MAP1S;UNC5B;SEMA6D;WNT5A;GAB1;GFRA1;GAB2;PIK3CA;DOK5;PALLD;FEZ1;MAP1B;DOK6;MAP1A;ULK2;EVL;LLGL1;B4GALT5;SPTBN4;BRSK1;NOTCH3;NOTCH1;SHC3;LAMA2;SEMA3D;SEMA3A;LAMA3;SEMA3B;NRXN3;NTN4;NEXN;PIK3R1;EFNA4;EFNB1;MAPK7;GPC1;SLITRK6;SLIT2;PAK3;PDLIM7;MAPK3;NTNG1;VASP;LGI1;AUTS2;USP9X;SEMA4C;RANBP9;CCK;PTPN11;CXCL12;GDNF;FGFR2"
"ephrin receptor signaling pathway (GO:0048013)","35/82",2.72212592785855e-06,0.000723955871766191,0,0,2.97461533536781,38.11701061059,"EPHB6;ROCK1;ROCK2;ARHGEF28;SDC2;ITSN1;AP2A1;WASL;PSEN1;EFNA4;KALRN;ACTB;ACTG1;EFNB1;SIPA1L1;CHN1;RAC1;EPHB2;PAK3;HRAS;EPHB4;GIT1;EPHB3;ACTR3;EPHA5;ACTR2;EPHA4;MMP2;ARPC4;PTPN11;ARPC5;DNM1;ARPC3;ARHGEF7;CRK"
"small GTPase mediated signal transduction (GO:0007264)","42/106",3.04523565816761e-06,0.000773074597766642,0,0,2.62318669932178,33.3195397809782,"RB1;DIRAS3;CDKN1A;RALA;SHC3;RALB;RRAD;ARHGAP1;PLD1;RASGRP2;NTN1;ABR;RASSF1;NRAS;RRAS;G3BP1;CHP1;PLCE1;SHOC2;RAC1;RALGDS;HRAS;RALBP1;JUN;KSR1;CDKN2A;PLK2;RRAS2;IGF1;MAPK14;ADRA2A;CCNA2;ARHGAP32;MAPK11;ARHGAP31;RHEB;PRKD1;RGL1;RAPGEF5;RIN2;TP53;NUCB2"
"positive regulation of nucleic acid-templated transcription (GO:1903508)","145/511",3.73287847519025e-06,0.000906440273214676,0,0,1.59481325228203,19.9325037710706,"RORA;ELK1;ZMIZ1;MYC;CREB3L2;ZXDC;SOX9;SOX4;CDK5RAP2;MAP3K5;MAP2K3;OSR2;MEF2C;MAP2K1;WNT5A;DYRK1B;JMJD6;RUNX1;SFRP1;TBL1XR1;DDIT3;PHIP;TRIM16;ATF5;TP53;ATF4;NOTCH1;KMT2A;GATA6;XPC;PSEN1;FOXO3;HIF1A;FOXO1;NPAS2;SEC14L2;ZKSCAN3;INPP5K;TASP1;TP53BP1;ZNF423;SNX5;TFAP2A;NFE2;AFAP1L2;JUN;EGR2;SMAD3;FOXF2;FZD4;FZD7;ZBTB16;IL31RA;HMGA1;NR1D2;NR2F2;IGF1;INHBA;TRERF1;ESR1;GDF7;COL1A1;MLLT11;MAFB;BCL3;SP3;TADA3;TCF3;PICALM;FANK1;ACVRL1;RNF10;CALCOCO1;MSTN;RNF14;CITED2;TGFB1I1;HMGB2;CTCF;BRCA1;FOXM1;GLI3;GLI2;IKBKB;ING2;MED14;LBH;SIX4;NUP62;SPIN1;TEAD1;MYBL1;TEAD2;CHUK;TFEB;PARP9;RGMB;ZFP90;ACTA2;ELF1;CREB1;MDFIC;IRF4;THRAP3;IRF1;PPARG;MAPRE3;PLCB1;PPARA;CREB5;YAP1;CEBPB;HDAC2;KDM3A;EGFR;RELA;LRP6;ARNTL;CAMKK2;RXRA;NFIL3;TP53INP2;ATOH8;BRD4;TRIM45;RNF20;ATF7IP;ARNT2;NFYA;STAT1;NR1H2;CNBP;USP22;STAT3;GTF2H1;KLF4;TBX5;HNRNPAB;AGT;HIPK2;PSMC5;KLF6;RYBP;CAMK4;CRLF3"
"cellular response to vascular endothelial growth factor stimulus (GO:0035924)","19/34",4.48070815399357e-06,0.00101143057094074,0,0,5.04958374958375,62.1893073148919,"MAP2K3;NUS1;NOTCH1;ANXA1;EGR3;SPHK1;GAB1;HSPB1;VEGFC;MAPK14;RELA;VEGFA;DLL4;NR4A1;PIK3CA;MAPKAPK2;SPRY2;ITGB1BP1;PRKD1"
