"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Circadian rhythm","12/31",0.0132385099614959,0.0348614095652725,0,0,2.51277408180136,10.8668063057266,"PER2;PER1;PRKAA1;CREB1;PER3;BHLHE40;CUL1;PRKAG2;RORA;FBXL3;NPAS2;ARNTL"
"Melanogenesis","30/101",0.0138458977636739,0.0361595346555452,0,0,1.68315679199162,7.20351768327855,"CAMK2D;CAMK2A;ADCY4;ADCY3;ADCY1;ADCY8;GNAI1;NRAS;EDNRB;CREB3L1;CREB3L2;DVL2;PRKACB;WNT2;HRAS;MAPK3;MAP2K1;TCF7L1;FZD5;FZD4;FZD7;WNT5A;FZD6;FZD8;CREB1;PLCB4;GNAQ;RAF1;CALM1;PLCB1"
"Type II diabetes mellitus","16/46",0.0144586076985374,0.037450164202769,0,0,2.12255220031611,8.99211885720046,"IRS1;INSR;PRKCE;PIK3CD;PIK3R3;IRS2;CACNA1C;PIK3R1;MTOR;CACNA1G;IKBKB;MAPK10;SOCS1;PKM;PIK3CA;MAPK3"
"Glutamatergic synapse","33/114",0.0151592327881513,0.0389456712280961,0,0,1.62309477397197,6.79938018094019,"GRIA1;GRIK5;SLC1A1;ITPR1;ADCY4;ITPR2;GRIK4;ADCY3;GRIK1;CACNA1C;ADCY1;PLD1;ADCY8;SLC1A7;GNAI1;GLS;GNG2;GNG5;GLUL;PRKACB;SLC38A2;GRIA3;MAPK3;SLC38A1;PLA2G4C;PLA2G4A;GNG11;PLCB4;DLG4;GNAQ;GNB2;GNB4;PLCB1"
"Lysosome","36/128",0.018255142532443,0.0465211696794516,0,0,1.55903425262538,6.24129500680253,"GBA;CLTB;ABCB9;TCIRG1;LITAF;CTSS;AP4M1;AP3M2;GGA2;LAPTM4A;GNPTAB;GM2A;CLTCL1;NEU1;AP1S2;ATP6V0A2;SLC17A5;ACP5;ACP2;ARSG;CTSC;AP1M1;ATP6V0A1;CTSA;ATP6V0B;MANBA;ENTPD4;SORT1;SLC11A2;FUCA2;PLA2G15;GALC;NPC1;TPP1;ATP6V0D1;LGMN"
"Protein processing in endoplasmic reticulum","46/171",0.0191851846861185,0.0485001468865076,0,0,1.46681820467689,5.79923728539474,"TRAM1;HSP90AB1;SAR1A;SAR1B;HSPA4L;RPN1;CUL1;DERL1;UBE2J1;HERPUD1;SEC61A2;DNAJB2;SEC61A1;DNAJB1;MAN1C1;UBQLN1;MAN1A1;CAPN1;MAP3K5;SEC31A;EDEM3;BCAP31;HSPA8;HSP90AA1;SEC24B;WFS1;EDEM1;HSPA6;SSR3;DNAJB12;SYVN1;MOGS;YOD1;HSPA2;RAD23B;CKAP4;DNAJC3;DNAJA1;MAPK10;NPLOC4;DDIT3;BCL2;PREB;STT3B;CRYAB;ATF4"
"Glycine, serine and threonine metabolism","14/40",0.0202420711377938,0.0507658292027209,0,0,2.14242953354951,8.35545827890745,"GAMT;ALAS1;MAOB;MAOA;SHMT2;SHMT1;BPGM;SDSL;GCAT;CBS;PSAT1;CHDH;CTH;PHGDH"
"HIF-1 signaling pathway","31/109",0.0232035024102966,0.0577346989106592,0,0,1.58287408149633,5.95707070016096,"CDKN1A;CAMK2D;PFKFB3;CAMK2A;PIK3R3;PIK3CD;PIK3R1;PDHB;HIF1A;EGFR;RELA;IGF1R;LDHA;AKT3;PLCG2;HMOX1;TIMP1;IL6R;MAPK3;MAP2K1;ANGPT1;IFNGR1;INSR;STAT3;IGF1;MTOR;VEGFA;PIK3CA;BCL2;LTBR;EIF4E2"
"MicroRNAs in cancer","77/310",0.0237476712595103,0.058627063421916,0,0,1.31853846672569,4.93169093307566,"CDKN1A;IRS1;TNC;PTEN;PIK3CD;IRS2;BRCA1;GLS;IKBKB;RASSF1;RPS6KA5;CCND2;PLAU;MYC;CASP3;PIM1;DNMT3B;TIMP3;HRAS;SOX4;PDGFRB;PDGFRA;MAP2K1;ABCC1;PRKCE;TPM1;DNMT3A;CDC25B;FOXP1;ZEB2;ZEB1;PIK3CA;DDIT4;FSCN1;ZFPM2;RAF1;TP53;CRK;MET;SOS2;NOTCH3;HDAC5;HDAC2;ABCB1;TNXB;NOTCH1;ROCK1;PIK3R3;PIK3R1;PTGS2;EFNA4;THBS1;EGFR;NRAS;BCL2L11;SOCS1;MAPK7;PLCG2;HMOX1;BMF;MCL1;MAPK3;TGFB2;CDKN2A;STAT3;MTOR;VEGFA;MARCKS;CDK6;CYP24A1;BCL2;MDM2;PDCD4;SPRY2;VIM;BCL2L2;EZH2"
"Alanine, aspartate and glutamate metabolism","13/37",0.0239964936363479,0.0587821084425265,0,0,2.15491479634248,8.03750369039025,"GFPT2;GPT2;ASNS;ABAT;ASS1;GLS;ALDH4A1;GLUD1;GLUD2;ASL;GLUL;RIMKLB;NIT2"
