"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Purine metabolism","15/129",0.44572203248377,0.626796608180301,0,0,1.06888260596395,0.863721029325059,"GUCY2D;ENTPD4;NPR1;PDE1A;ENTPD6;ADCY3;AK5;NT5C2;PAPSS2;PNP;IMPDH1;ENPP1;NUDT16;XDH;ITPA"
"IL-17 signaling pathway","11/94",0.457531552827151,0.640544173958012,0,0,1.07651872384129,0.841740140361399,"IKBKB;NFKBIA;MAPK11;CEBPB;MAPK7;CHUK;CASP3;TNFAIP3;MAPK14;RELA;IL17RA"
"Ubiquitin mediated proteolysis","16/140",0.469934614739952,0.653472357876765,0,0,1.04808333456814,0.791472404758914,"UBE3C;CUL1;SYVN1;CBLB;CBL;RHOBTB2;UBE2J1;UBE2W;HERC3;ITCH;UBA3;UBE2N;UBA2;BIRC6;SKP2;UBE2K"
"Insulin secretion","10/86",0.472348570197342,0.653472357876765,0,0,1.06872483545097,0.8015843126968,"CAMK2D;PLCB4;GNAQ;CREB3L2;ADCY3;CCK;ATP1A1;ATP1B1;VAMP2;TRPM4"
"Notch signaling pathway","7/59",0.472989516177468,0.653472357876765,0,0,1.09336512069815,0.81858284571991,"DLL4;NOTCH3;TLE2;ADAM17;TLE1;ATXN1L;PSEN1"
"Cardiac muscle contraction","10/87",0.487478936369421,0.668015303064213,0,0,1.05478580054851,0.757872243694253,"CACNB2;TPM4;TPM3;TPM2;TPM1;UQCRC1;ATP2A2;ATP1A1;ATP1B1;COX7A1"
"Amphetamine addiction","8/69",0.489877888913756,0.668015303064213,0,0,1.06514611546686,0.760087336242446,"PPP1CB;GRIA1;CAMK2D;MAOB;MAOA;CREB3L2;CALM1;PPP1CA"
"Renin secretion","8/69",0.489877888913756,0.668015303064213,0,0,1.06514611546686,0.760087336242446,"PLCB4;NPR1;PDE1A;GNAQ;ITPR1;ITPR2;CALM1;GNAI1"
"Cell cycle","14/124",0.496175297940582,0.673686288152084,0,0,1.03366014435312,0.724415895467125,"RB1;GADD45B;CUL1;CDC14B;CCNA2;RBL2;CCND3;CDK7;WEE1;TFDP1;MYC;RAD21;E2F4;SKP2"
"Caffeine metabolism","1/6",0.501890313036416,0.675621575241329,0,0,1.6242700729927,1.11972904255583,"XDH"
"Phosphonate and phosphinate metabolism","1/6",0.501890313036416,0.675621575241329,0,0,1.6242700729927,1.11972904255583,"PCYT2"
"Arachidonic acid metabolism","7/61",0.509290355998374,0.682665796338247,0,0,1.05275151638372,0.710330379979808,"GGT5;GPX1;GPX3;PLA2G2A;ALOX15B;PLB1;PTGS1"
"Transcriptional misregulation in cancer","21/192",0.539353914766904,0.719900352337181,0,0,0.997156796226293,0.615627963325371,"ARNT2;CD40;CEBPB;GADD45B;ZBTB16;DOT1L;FOXO1;ETV5;RELA;IGF1R;RUNX1;TGFBR2;CCNA2;NR4A3;ZEB1;BCL6;EWSR1;MYC;NFKBIZ;PPARG;MET"
"Oocyte meiosis","14/129",0.558234165379743,0.741956802087,0,0,0.988439052616876,0.576236989839819,"MAP2K1;CAMK2D;CUL1;ITPR1;ITPR2;ADCY3;MAPK14;IGF1R;PPP1CA;PPP1CB;PPP2CB;MAPK11;RPS6KA2;CALM1"
"Retrograde endocannabinoid signaling","16/148",0.563197698105884,0.745408718081317,0,0,0.984117704374939,0.565006145308169,"GRIA1;ITPR1;ITPR2;ADCY3;MAPK14;GNG11;GNAI1;RIMS1;MAPK11;PLCB4;GNG5;GNAQ;GNB2;GNB4;DAGLB;MGLL"
"Huntington disease","33/306",0.568083052874443,0.747776653407273,0,0,0.981247456247456,0.554883319181905,"GRIA1;DCTN6;HIP1;CLTB;ITPR1;AP2A1;COX7A1;PSMA7;PSMD8;PSMD7;KIF5B;CASP3;CREB3L2;CLTCL1;MAP3K5;TGM2;GPX1;GPX3;WIPI1;WIPI2;SOD2;MTOR;PSMA5;PSMC5;PLCB4;GNAQ;UQCRC1;PPIF;ULK2;VDAC2;PPARG;PIK3C3;SLC25A4"
"Primary bile acid biosynthesis","2/17",0.570561936280652,0.747776653407273,0,0,1.08273239008063,0.607557470464466,"CYP39A1;HSD17B4"
"Alcoholism","20/186",0.572108487210009,0.747776653407273,0,0,0.978104779911177,0.546199768387643,"HDAC5;MAP2K1;SHC3;MAOB;MAOA;GNG11;GNAI1;CAMKK2;HDAC7;PPP1CA;PPP1CB;NRAS;GNG5;GNB2;CREB3L2;GNB4;RAF1;CALM1;HRAS;SOS2"
"MicroRNAs in cancer","33/310",0.599314493784072,0.780099444388358,0,0,0.966857200160449,0.495000708247179,"NOTCH3;HDAC5;ROCK1;IRS1;PIK3CD;IRS2;PIK3R1;THBS1;GLS;IKBKB;RASSF1;NRAS;MAPK7;MYC;CASP3;PLCG2;HRAS;MCL1;PDGFRB;PDGFRA;MAP2K1;STAT3;TPM1;MTOR;ZEB1;PIK3CA;DDIT4;SPRY2;RAF1;CRK;MET;SOS2;BCL2L2"
"Metabolism of xenobiotics by cytochrome P450","8/76",0.603259546497181,0.782003115829679,0,0,0.955121819895006,0.482725969484715,"HSD11B1;ADH1C;GSTO1;ADH1B;ADH1A;ALDH3B1;ADH5;ADH6"
"Retinol metabolism","7/68",0.627921123717534,0.810635876930423,0,0,0.931576500232478,0.433500478960208,"ADH1C;ADH1B;ADH1A;AOX1;ADH5;DHRS3;ADH6"
"Cocaine addiction","5/49",0.635513593297976,0.817088905668826,0,0,0.92254237992355,0.418208571002763,"MAOB;MAOA;CREB3L2;GNAI1;RELA"
"RNA degradation","8/79",0.647740073815442,0.82942326525148,0,0,0.91460985593193,0.397183765916743,"BTG1;EXOSC10;DIS3;EXOSC9;LSM1;NUDT16;TOB2;CNOT8"
"Ascorbate and aldarate metabolism","3/30",0.653767796043181,0.830390547393557,0,0,0.902080162354135,0.383386813572669,"UGDH;ALDH1B1;ALDH2"
"Citrate cycle (TCA cycle)","3/30",0.653767796043181,0.830390547393557,0,0,0.902080162354135,0.383386813572669,"FH;IDH2;DLAT"
"One carbon pool by folate","2/20",0.660765438300217,0.83590808459666,0,0,0.902124854201532,0.373801171716397,"MTHFD1;SHMT1"
"Prion disease","28/273",0.675556550823774,0.851201254037955,0,0,0.927060376113494,0.363610144932149,"ITPR1;ITPR2;PIK3CD;PIK3R1;LAMC1;COX7A1;PSMA7;PSMD8;PSMD7;C6;C7;KIF5B;CASP3;CREB3L2;RAC1;CAV2;CAV1;CYBA;HSPA2;MAPK14;PSMA5;MAPK11;PSMC5;PIK3CA;UQCRC1;PPIF;VDAC2;SLC25A4"
"Peroxisome","8/82",0.689210716239693,0.864945719583678,0,0,0.877382645803698,0.326569037801463,"ACSL1;CAT;IDH2;HSD17B4;FAR1;MLYCD;SOD2;XDH"
"Basal cell carcinoma","6/63",0.702338942996599,0.87445362467956,0,0,0.85433061391476,0.301868467204571,"FZD5;GADD45B;FZD4;FZD6;FZD8;AXIN2"
"Cytosolic DNA-sensing pathway","6/63",0.702338942996599,0.87445362467956,0,0,0.85433061391476,0.301868467204571,"IKBKB;NFKBIA;MAVS;CHUK;RELA;NFKBIB"
"Fat digestion and absorption","4/43",0.708530716631527,0.876090447805514,0,0,0.832507525974863,0.286850346888627,"PLA2G2A;APOB;AGPAT2;SLC27A4"
"Parkinson disease","25/249",0.710303186939901,0.876090447805514,0,0,0.905160697812335,0.309622324330275,"CAMK2D;MAOB;MAOA;LRRK2;ITPR1;ITPR2;COX7A1;GNAI1;PSMA7;UBE2J1;PSMD8;PSMD7;KIF5B;CASP3;MAP3K5;GPR37;DUSP1;PSMA5;PSMC5;PINK1;UQCRC1;PPIF;VDAC2;CALM1;SLC25A4"
"Terpenoid backbone biosynthesis","2/22",0.711997316311783,0.876090447805514,0,0,0.811821086261981,0.275760309461538,"NUS1;PCYOX1"
"Complement and coagulation cascades","8/85",0.727463225194997,0.891637805200093,0,0,0.8430562572439,0.268253613938169,"C6;CFH;C7;F10;C1R;CFHR1;SERPING1;F3"
"Mannose type O-glycan biosynthesis","2/23",0.735085474279095,0.895386212798565,0,0,0.773119471430745,0.237941816173147,"FKRP;FUT4"
"Pentose and glucuronate interconversions","3/34",0.736206441634375,0.895386212798565,0,0,0.785505965532479,0.240557045229423,"UGDH;UGP2;DCXR"
"Basal transcription factors","4/45",0.742057549587358,0.899031262000068,0,0,0.791808265273151,0.236218955226051,"CDK7;TAF9;GTF2H1;TAF5L"
"Hedgehog signaling pathway","5/56",0.749492432406635,0.904559832214904,0,0,0.795605262214575,0.229419984227462,"SCUBE2;EVC2;BOC;CUL1;SPOPL"
"mRNA surveillance pathway","9/98",0.760429965429761,0.914257401184636,0,0,0.820379059143104,0.22467824798996,"GLE1;PPP1CB;UPF1;PPP2CB;RNPS1;ETF1;GSPT1;SMG5;PPP1CA"
"Nucleotide excision repair","4/47",0.772566476317334,0.925317262509354,0,0,0.754894982311133,0.194791002950159,"POLD4;CDK7;GTF2H1;RAD23B"
"alpha-Linolenic acid metabolism","2/25",0.776540850914486,0.926554424386603,0,0,0.705812315202508,0.178504189676288,"PLA2G2A;PLB1"
