"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Proteasome","1/46",0.986840411512548,0.999995984622412,0,0,0.224947355382138,0.00297986481396864,"PSME2"
"Non-alcoholic fatty liver disease","7/155",0.988330965153775,0.999995984622412,0,0,0.47765508797388,0.00560654936859336,"MAPK10;SREBF1;JUN;BCL2L11;DDIT3;PIK3R3;ATF4"
"Alzheimer disease","21/369",0.992864881986401,0.999995984622412,0,0,0.607428177117755,0.0043496077300633,"FZD7;TUBB;WNT5A;PIK3R3;CACNA1C;PTGS2;DKK2;TUBA4A;LRP6;MAPK10;TUBA1C;GRIN2A;TUBA1B;TUBA1A;DDIT3;DVL2;MAPT;PLCB1;WNT2;ATF4;MAPK3"
"Spliceosome","6/150",0.994085990524691,0.999995984622412,0,0,0.420649338550401,0.00249510951853209,"HSPA8;HSPA6;TRA2A;ACIN1;RBMX;SNRPA"
"Systemic lupus erythematosus","5/135",0.994778730438989,0.999995984622412,0,0,0.388375590889557,0.00203312603144539,"C4B;C4A;GRIN2A;FCGR2A;C2"
"RNA transport","8/186",0.995217220752764,0.999995984622412,0,0,0.453386819916626,0.00217365127382659,"CYFIP2;NUP205;NUP188;XPOT;CLNS1A;NUP62;ACIN1;TARDBP"
"Neutrophil extracellular trap formation","8/189",0.995997730282862,0.999995984622412,0,0,0.445797920524846,0.00178778350437469,"HDAC2;FCGR2A;CASP1;PIK3R3;PLCB1;CLCN3;HDAC9;MAPK3"
"Cytosolic DNA-sensing pathway","1/63",0.997349369771281,0.999995984622412,0,0,0.163115402596469,0.000432932642879832,"CASP1"
"Aminoacyl-tRNA biosynthesis","1/66",0.998002127216117,0.999995984622412,0,0,0.155561272618129,0.000311102507990623,"AARS2"
"Hematopoietic cell lineage","2/99",0.999040874279272,0.999995984622412,0,0,0.208232473364344,0.0001998169612133,"ITGA2;CD37"
"Ribosome biogenesis in eukaryotes","2/108",0.999554669163256,0.999995984622412,0,0,0.19045764977007,8.48355558832659e-05,"WDR36;NVL"
"Oxidative phosphorylation","3/133",0.999639507621217,0.999995984622412,0,0,0.232765281593407,8.39252381732162e-05,"ATP6V1A;PPA1;ATP6V0D1"
"Olfactory transduction","5/440",0.999994887699699,0.999995984622412,0,0,0.114107750593977,5.83354578798239e-07,"CAMK2A;PRKG2;PRKACB;SLC8A1;PRKG1"
"Ribosome","1/158",0.999995984622412,0.999995984622412,0,0,0.0640777112668555,2.57296722289496e-07,"MRPL14"
